2023-58-24 01:58:41
N_eng	k_pcs	k_tank	mu_sa	k_extra	eta_pcs	k_sa	m_platform	m_eng	m_engines	m_fsts	m_pcs	m_sa	m_saos	m_eos	m0	m_f_main	m_f_extra	m_fuel	p_platform	p_eng	p_engines	p_burt_0	p_burt	p_fsts_0	p_fsts	p_pcs	p_saos	p_eos	p_sa	p0	RE	RL	mu0	mu1	h0	h1	R0	R1	J	Vgis	F	track	dt0	eta	m0_iter_cnt	eng_name	platform_name
3	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	3.96	40.2183510505704	0.4725	16.5165	10	10	623.350872347882	383.031914767337	19.1515957383669	402.183510505704	250	225	675	10	20	20	40	67.5	10	10	1179.75	1072.5	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	930	0	0.0148	TrackNS.Track	100	0.614472413144508	6	СПД-50М(1)	Карат
4	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	5.28	40.9552997760339	0.63	20.328	10	10	636.746354789869	390.050474057465	19.5025237028733	409.552997760339	250	225	900	10	20	20	40	90	10	10	1452	1320	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	930	0	0.0148	TrackNS.Track	100	0.612568051820548	5	СПД-50М(1)	Карат
5	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	6.6	41.8844537151562	0.7875	24.6015	10	10	652.718036884824	398.899559191964	19.9449779595982	418.844537151562	250	225	1125	10	30	20	60	112.5	10	10	1757.25	1597.5	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	930	0	0.0148	TrackNS.Track	100	0.611136105715357	5	СПД-50М(1)	Карат
6	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	7.92	42.7591334873201	0.945	28.413	10	10	667.6284992094	407.229842736382	20.3614921368191	427.591334873201	250	225	1350	10	30	20	60	135	10	10	2029.5	1845	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	930	0	0.0148	TrackNS.Track	100	0.609964738201889	5	СПД-50М(1)	Карат
7	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	9.24	43.7712150620084	1.1025	32.6865	10	10	684.512396715962	416.868714876271	20.8434357438135	437.712150620084	250	225	1575	10	40	20	80	157.5	10	10	2334.75	2122.5	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	930	0	0.0148	TrackNS.Track	100	0.60900097189803	5	СПД-50М(1)	Карат
8	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	10.56	44.7028860195009	1.26	36.498	10	10	700.049776950915	425.741771614295	21.2870885807147	447.028860195009	250	225	1800	10	40	20	80	180	10	10	2607	2370	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	930	0	0.0148	TrackNS.Track	100	0.608159284713473	5	СПД-50М(1)	Карат
9	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	11.88	45.7551164518862	1.4175	40.7715	10	10	717.375305566485	435.763013827487	21.7881506913744	457.551164518862	250	225	2025	10	50	20	100	202.5	10	10	2912.25	2647.5	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	930	0	0.0148	TrackNS.Track	100	0.607440778134091	5	СПД-50М(1)	Карат
10	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	13.2	46.7173571388403	1.575	44.583	10	10	733.248944233514	444.927210846098	22.2463605423049	467.173571388403	250	225	2250	10	50	20	100	225	10	10	3184.5	2895	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	930	0	0.0148	TrackNS.Track	100	0.606788750730754	5	СПД-50М(1)	Карат
1	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	1.32	24.2128006193749	0.21	9.702	10	10	437.572808961314	230.598101136904	11.5299050568452	242.128006193749	250	300	300	10	10	20	20	30	10	10	693	630	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1200	0	0.018	TrackNS.Track	100	0.526993671485861	7	СПД-50М(2)	Карат
2	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	2.64	24.5977037046128	0.42	14.784	10	10	448.418774364013	234.263844805836	11.7131922402918	245.977037046128	250	300	600	10	10	20	20	60	10	10	1056	960	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1200	0	0.018	TrackNS.Track	100	0.52242202645973	5	СПД-50М(2)	Карат
3	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	3.96	25.2688037936199	0.63	20.328	10	10	462.874865690796	240.655274224952	12.0327637112476	252.688037936199	250	300	900	10	20	20	40	90	10	10	1452	1320	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1200	0	0.018	TrackNS.Track	100	0.519914326879246	5	СПД-50М(2)	Карат
4	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	5.28	25.9504989279869	0.84	25.41	10	10	476.985512105905	247.147608837971	12.3573804418985	259.504989279869	250	300	1200	10	20	20	40	120	10	10	1815	1650	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1200	0	0.018	TrackNS.Track	100	0.518144896575174	5	СПД-50М(2)	Карат
5	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	6.6	26.735493538061	1.05	30.954	10	10	492.694442854914	254.623747981533	12.7311873990767	267.35493538061	250	300	1500	10	30	20	60	150	10	10	2211	2010	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1200	0	0.018	TrackNS.Track	100	0.516798497880589	5	СПД-50М(2)	Карат
6	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	7.92	27.4793907262908	1.26	36.036	10	10	507.489316313297	261.708483107531	13.0854241553766	274.793907262908	250	300	1800	10	30	20	60	180	10	10	2574	2340	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1200	0	0.018	TrackNS.Track	100	0.51569259626732	5	СПД-50М(2)	Карат
7	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	9.24	28.302882339859	1.47	41.58	10	10	523.621718789817	269.55126037961	13.4775630189805	283.02882339859	250	300	2100	10	40	20	80	210	10	10	2970	2700	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1200	0	0.018	TrackNS.Track	100	0.514782429198297	5	СПД-50М(2)	Карат
8	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	10.56	29.0733717343601	1.68	46.662	10	10	538.709098379472	276.889254612953	13.8444627306477	290.733717343601	250	300	2400	10	40	20	80	240	10	10	3333	3030	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1200	0	0.018	TrackNS.Track	100	0.513986593963018	5	СПД-50М(2)	Карат
